id_cliente,evasao,genero,idoso,tem_parceiro,tem_dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,valor_mensal,valor_total,valor_diario
0002orfbo,False,female,False,True,True,9,True,False,dsl,False,True,False,True,True,False,one year,True,mailed check,65.6,593.3,2.19
0003mknfe,False,male,False,False,False,9,True,True,dsl,False,False,False,False,False,True,month,False,mailed check,59.9,542.4,2.0
0004tlhlj,True,male,False,False,False,4,True,False,fiber optic,False,False,True,False,False,False,month,True,electronic check,73.9,280.85,2.46
0011igkff,True,male,True,True,False,13,True,False,fiber optic,False,True,True,False,True,True,month,True,electronic check,98.0,1237.85,3.27
0013exchz,True,female,True,True,False,3,True,False,fiber optic,False,False,False,True,True,False,month,True,mailed check,83.9,267.4,2.8
0013mhzwf,False,female,False,False,True,9,True,False,dsl,False,False,False,True,True,True,month,True,credit card automatic,69.4,571.45,2.31
0013smeoe,False,female,True,True,False,71,True,False,fiber optic,True,True,True,True,True,True,two year,True,bank transfer automatic,109.7,7904.25,3.66
0014bmaqu,False,male,False,True,False,63,True,True,fiber optic,True,False,False,True,False,False,two year,True,credit card automatic,84.65,5377.8,2.82
0015uocoj,False,female,True,False,False,7,True,False,dsl,True,False,False,False,False,False,month,True,electronic check,48.2,340.35,1.61
0016qljis,False,female,False,True,True,65,True,True,dsl,True,True,True,True,True,True,two year,True,mailed check,90.45,5957.9,3.02
0017dinoc,False,male,False,False,False,54,False,False,dsl,True,False,False,True,True,False,two year,False,credit card automatic,45.2,2460.55,1.51
0017iudmw,False,female,False,True,True,72,True,True,fiber optic,True,True,True,True,True,True,two year,True,credit card automatic,116.8,8456.75,3.89
0018nyrou,False,female,False,True,False,5,True,False,fiber optic,False,False,False,False,False,False,month,True,electronic check,68.95,351.5,2.3
0019efaep,False,female,False,False,False,72,True,True,fiber optic,True,True,True,False,True,False,two year,True,bank transfer automatic,101.3,7261.25,3.38
0019gfntw,False,female,False,False,False,56,False,False,dsl,True,True,True,True,False,False,two year,False,bank transfer automatic,45.05,2560.1,1.5
0020inwck,False,female,False,True,True,71,True,True,fiber optic,False,True,True,False,False,True,two year,True,credit card automatic,95.75,6849.4,3.19
0020jdnxp,False,female,False,True,True,34,False,False,dsl,True,False,True,True,True,True,one year,False,mailed check,61.25,1993.2,2.04
0021ikxgc,False,female,True,False,False,1,True,True,fiber optic,False,False,False,False,False,False,month,True,electronic check,72.1,72.1,2.4
0022tcjci,True,male,True,False,False,45,True,False,dsl,True,False,True,False,False,True,one year,False,credit card automatic,62.7,2791.5,2.09
0023hghwl,True,male,True,False,False,1,False,False,dsl,False,False,False,False,False,False,month,True,electronic check,25.1,25.1,0.84
0023uyupn,False,female,True,True,False,50,True,True,no,False,False,False,False,False,False,one year,False,electronic check,25.2,1306.3,0.84
0023xuopt,True,female,False,True,False,13,True,True,fiber optic,False,True,True,False,True,False,month,False,electronic check,94.1,1215.6,3.14
0027kwykw,False,female,False,True,True,23,True,True,fiber optic,False,False,False,False,True,False,month,True,electronic check,83.75,1849.95,2.79
0030fnxpp,False,female,False,False,False,3,True,False,no,False,False,False,False,False,False,month,False,mailed check,19.85,57.2,0.66
0031pvlzi,True,female,False,True,True,4,True,False,no,False,False,False,False,False,False,month,False,mailed check,20.35,76.35,0.68
0032pgels,True,female,False,True,True,1,False,False,dsl,True,False,False,False,False,False,month,False,bank transfer automatic,30.5,30.5,1.02
0036ihmot,False,female,False,True,True,55,True,False,fiber optic,False,True,True,True,True,True,one year,True,bank transfer automatic,103.7,5656.75,3.46
0040halcw,False,male,False,True,True,54,True,False,no,False,False,False,False,False,False,two year,False,credit card automatic,20.4,1090.6,0.68
0042jvwoj,False,male,False,False,False,26,True,False,no,False,False,False,False,False,False,one year,True,bank transfer automatic,19.6,471.85,0.65
0042rlhyp,False,female,False,True,True,69,True,False,no,False,False,False,False,False,False,two year,False,bank transfer automatic,19.7,1396.9,0.66
0047zhdtw,False,female,False,False,False,11,True,True,fiber optic,True,False,False,False,False,False,month,True,bank transfer automatic,79.0,929.3,2.63
0048lumls,False,male,False,True,True,37,True,False,fiber optic,False,False,False,False,True,True,one year,False,credit card automatic,91.2,3247.55,3.04
0048pihnl,False,female,False,True,False,49,True,False,no,False,False,False,False,False,False,one year,False,bank transfer automatic,20.45,900.9,0.68
0052dckon,False,male,False,True,False,66,True,True,fiber optic,True,True,True,True,True,True,one year,False,bank transfer automatic,115.8,7942.15,3.86
0052ynyot,False,female,False,False,False,67,True,False,no,False,False,False,False,False,False,one year,False,electronic check,20.55,1343.4,0.69
